"t / s";"CH1 / V"
0.00638;7.37743
0.0064;7.38376
0.00642;7.37901
0.00644;7.3798
0.00646;7.37663
0.00648;7.3798
0.0065;7.37743
0.00652;7.37743
0.00654;7.38059
0.00656;7.38139
0.00658;7.38693
0.0066;7.38772
0.00662;7.37901
0.00664;7.3798
0.00666;7.38376
0.00668;7.38614
0.0067;7.37901
0.00672;7.38455
0.00674;7.38614
0.00676;7.38693
0.00678;7.38614
0.0068;7.38139
0.00682;7.38931
0.00684;7.38931
0.00686;7.38218
0.00688;7.38218
0.0069;7.38376
0.00692;7.38851
0.00694;7.38376
0.00696;7.38376
0.00698;7.38297
0.007;7.37743
0.00702;7.37663
0.00704;7.37743
0.00706;7.38139
0.00708;7.38376
0.0071;7.37822
0.00712;7.38851
0.00714;7.37188
0.00716;7.37901
0.00718;7.38297
0.0072;7.38455
0.00722;7.38139
0.00724;7.38297
0.00726;7.38693
0.00728;7.38376
0.0073;7.3798
0.00732;7.38455
0.00734;7.38139
0.00736;7.38693
0.00738;7.38535
0.0074;7.37901
0.00742;7.38455
0.00744;7.38455
0.00746;7.38297
0.00748;7.38139
0.0075;7.37822
0.00752;7.38376
0.00754;7.37743
0.00756;7.38218
0.00758;7.38139
0.0076;7.38455
0.00762;7.37663
0.00764;7.38455
0.00766;7.37743
0.00768;7.37901
0.0077;7.37743
0.00772;7.38218
0.00774;7.38059
0.00776;7.38297
0.00778;7.38059
0.0078;7.37663
0.00782;7.3798
0.00784;7.37505
0.00786;7.37505
0.00788;7.37584
0.0079;7.37822
0.00792;7.37584
0.00794;7.38139
0.00796;7.37426
0.00798;7.37505
0.008;7.37347
0.00802;7.37505
0.00804;7.37901
0.00806;7.37188
0.00808;7.37584
0.0081;7.37743
0.00812;7.37505
0.00814;7.37109
0.00816;7.37347
0.00818;7.37663
0.0082;7.37743
0.00822;7.3798
0.00824;7.37584
0.00826;7.38059
0.00828;7.38059
0.0083;7.38059
0.00832;7.37426
0.00834;7.37505
0.00836;7.37347
0.00838;7.37267
0.0084;7.37505
0.00842;7.37822
0.00844;7.37743
0.00846;7.37505
0.00848;7.37584
0.0085;7.38218
0.00852;7.37901
0.00854;7.37743
0.00856;7.3798
0.00858;7.38139
0.0086;7.37901
0.00862;7.37267
0.00864;7.37822
0.00866;7.37901
0.00868;7.3798
0.0087;7.37584
0.00872;7.38455
0.00874;7.3798
0.00876;7.37822
0.00878;7.37584
0.0088;7.37426
0.00882;7.37347
0.00884;7.37505
0.00886;7.38297
0.00888;7.38218
0.0089;7.38297
0.00892;7.38139
0.00894;7.37663
0.00896;7.38059
0.00898;7.37822
0.009;7.38693
0.00902;7.38376
0.00904;7.37901
0.00906;7.38139
0.00908;7.38297
0.0091;7.37822
0.00912;7.38455
0.00914;7.37901
0.00916;7.37822
0.00918;7.38218
0.0092;7.3798
0.00922;7.38059
0.00924;7.38297
0.00926;7.37901
0.00928;7.37743
0.0093;7.37505
0.00932;7.38772
0.00934;7.38139
0.00936;7.37822
0.00938;7.38297
0.0094;7.37743
0.00942;7.37663
0.00944;7.38693
0.00946;7.38297
0.00948;7.38139
0.0095;7.38376
0.00952;7.3798
0.00954;7.37901
0.00956;7.38139
0.00958;7.38218
0.0096;7.38535
0.00962;7.38376
0.00964;7.3798
0.00966;7.37901
0.00968;7.38614
0.0097;7.38376
0.00972;7.38218
0.00974;7.38376
0.00976;7.38614
0.00978;7.38693
0.0098;7.38218
0.00982;7.38772
0.00984;7.38772
0.00986;7.39089
0.00988;7.3901
0.0099;7.38139
0.00992;7.38931
0.00994;7.38297
0.00996;7.38535
0.00998;7.38614
0.01;7.38218
0.01002;7.38376
0.01004;7.38693
0.01006;7.38376
0.01008;7.38376
0.0101;7.38455
0.01012;7.38693
0.01014;7.38297
0.01016;7.37743
0.01018;7.38851
0.0102;7.38218
0.01022;7.38772
0.01024;7.38535
0.01026;7.39406
0.01028;7.38931
0.0103;7.38139
0.01032;7.39089
0.01034;7.38931
0.01036;7.3996
0.01038;7.39168
0.0104;7.38772
0.01042;7.38931
0.01044;7.38614
0.01046;7.39168
0.01048;7.39327
0.0105;7.3901
0.01052;7.38693
0.01054;7.3901
0.01056;7.39248
0.01058;7.39089
0.0106;7.39406
0.01062;7.38614
0.01064;7.39089
0.01066;7.38931
0.01068;7.38218
0.0107;7.38693
0.01072;7.38376
0.01074;7.37822
0.01076;7.38614
0.01078;7.38376
0.0108;7.39248
0.01082;7.38535
0.01084;7.38139
0.01086;7.39168
0.01088;7.39168
0.0109;7.38455
0.01092;7.38376
0.01094;7.38931
0.01096;7.38614
0.01098;7.39089
0.011;7.38376
0.01102;7.38931
0.01104;7.38218
0.01106;7.38931
0.01108;7.39168
0.0111;7.38931
0.01112;7.38218
0.01114;7.38139
0.01116;7.38455
0.01118;7.38614
0.0112;7.38376
0.01122;7.39168
0.01124;7.39168
0.01126;7.39089
0.01128;7.39248
0.0113;7.38772
0.01132;7.38614
0.01134;7.38455
0.01136;7.38376
0.01138;7.39327
0.0114;7.38376
0.01142;7.38851
0.01144;7.38693
0.01146;7.3798
0.01148;7.38772
0.0115;7.3798
0.01152;7.37901
0.01154;7.38455
0.01156;7.38455
0.01158;7.39248
0.0116;7.3901
0.01162;7.39248
0.01164;7.37743
0.01166;7.38931
0.01168;7.38455
0.0117;7.38851
0.01172;7.39327
0.01174;7.39168
0.01176;7.38297
0.01178;7.38851
0.0118;7.3901
0.01182;7.38614
0.01184;7.38297
0.01186;7.38376
0.01188;7.38535
0.0119;7.39644
0.01192;7.38297
0.01194;7.38851
0.01196;7.38297
0.01198;7.38693
0.012;7.38376
0.01202;7.39406
0.01204;7.38851
0.01206;7.38931
0.01208;7.39406
0.0121;7.38614
0.01212;7.38139
0.01214;7.39168
0.01216;7.38535
0.01218;7.38297
0.0122;7.38772
0.01222;7.38772
0.01224;7.38931
0.01226;7.38614
0.01228;7.38931
0.0123;7.3901
0.01232;7.38218
0.01234;7.38297
0.01236;7.3901
0.01238;7.39089
0.0124;7.3901
0.01242;7.39644
0.01244;7.38772
0.01246;7.38455
0.01248;7.38931
0.0125;7.38535
0.01252;7.38851
0.01254;7.39406
0.01256;7.3901
0.01258;7.39089
0.0126;7.3901
0.01262;7.38931
0.01264;7.38059
0.01266;7.39168
0.01268;7.39327
0.0127;7.39089
0.01272;7.38535
0.01274;7.39327
0.01276;7.3901
0.01278;7.39327
0.0128;7.39248
0.01282;7.38297
0.01284;7.38931
0.01286;7.38218
0.01288;7.39327
0.0129;7.38693
0.01292;7.38455
0.01294;7.38931
0.01296;7.38851
0.01298;7.38931
0.013;7.39089
0.01302;7.38693
0.01304;7.39168
0.01306;7.38614
0.01308;7.39248
0.0131;7.39248
0.01312;7.39089
0.01314;7.38851
0.01316;7.39168
0.01318;7.38614
0.0132;7.39248
0.01322;7.39089
0.01324;7.39485
0.01326;7.39089
0.01328;7.38455
0.0133;7.40119
0.01332;7.39881
0.01334;7.39644
0.01336;7.39564
0.01338;7.39327
0.0134;7.39406
0.01342;7.3901
0.01344;7.3901
0.01346;7.38535
0.01348;7.38614
0.0135;7.39089
0.01352;7.39089
0.01354;7.39089
0.01356;7.3901
0.01358;7.3901
0.0136;7.38851
0.01362;7.38455
0.01364;7.38614
0.01366;7.38455
0.01368;7.38614
0.0137;7.38693
0.01372;7.39327
0.01374;7.39485
0.01376;7.39089
0.01378;7.38931
0.0138;7.39089
0.01382;7.39089
0.01384;7.38455
0.01386;7.39485
0.01388;7.3901
0.0139;7.38614
0.01392;7.39168
0.01394;7.38614
0.01396;7.38139
0.01398;7.38218
0.014;7.38693
