"t / s";"CH1 / V"
0,016;7,47273
0,01605;7,47071
0,0161;7,47475
0,01615;7,47273
0,0162;7,47273
0,01625;7,47273
0,0163;7,47273
0,01635;7,47475
0,0164;7,47273
0,01645;7,47273
0,0165;7,47475
0,01655;7,47475
0,0166;7,47273
0,01665;7,47273
0,0167;7,47071
0,01675;7,47475
0,0168;7,47071
0,01685;7,47475
0,0169;7,47273
0,01695;7,47273
0,017;7,47475
0,01705;7,47475
0,0171;7,47273
0,01715;7,47475
0,0172;7,47273
0,01725;7,47677
0,0173;7,47475
0,01735;7,47273
0,0174;7,47475
0,01745;7,47677
0,0175;7,46869
0,01755;7,47273
0,0176;7,47475
0,01765;7,47071
0,0177;7,47071
0,01775;7,47273
0,0178;7,47071
0,01785;7,47273
0,0179;7,47475
0,01795;7,47071
0,018;7,47475
0,01805;7,47475
0,0181;7,47273
0,01815;7,47475
0,0182;7,47677
0,01825;7,47475
0,0183;7,47273
0,01835;7,47677
0,0184;7,47475
0,01845;7,47273
0,0185;7,47273
0,01855;7,47475
0,0186;7,47273
0,01865;7,46869
0,0187;7,47677
0,01875;7,47273
0,0188;7,47475
0,01885;7,47475
0,0189;7,47273
0,01895;7,47273
0,019;7,47273
0,01905;7,47071
0,0191;7,47273
0,01915;7,47475
0,0192;7,47273
0,01925;7,47475
0,0193;7,47475
0,01935;7,47475
0,0194;7,47677
0,01945;7,47071
0,0195;7,47273
0,01955;7,47273
0,0196;7,47475
0,01965;7,47475
0,0197;7,47273
0,01975;7,47273
0,0198;7,47677
0,01985;7,47273
0,0199;7,47475
0,01995;7,47273
0,02;7,47677
0,02005;7,47273
0,0201;7,47677
0,02015;7,47475
0,0202;7,47273
0,02025;7,46869
0,0203;7,47677
0,02035;7,47475
0,0204;7,47273
0,02045;7,47071
0,0205;7,46869
0,02055;7,47071
0,0206;7,47475
0,02065;7,47071
0,0207;7,46869
0,02075;7,47273
0,0208;7,47475
0,02085;7,47273
0,0209;7,47475
0,02095;7,47475
0,021;7,47475
0,02105;7,47475
0,0211;7,47273
0,02115;7,46869
0,0212;7,47071
0,02125;7,47273
0,0213;7,47071
0,02135;7,46869
0,0214;7,47273
0,02145;7,47273
0,0215;7,47475
0,02155;7,47071
0,0216;7,47475
0,02165;7,47273
0,0217;7,47475
0,02175;7,47071
0,0218;7,47475
0,02185;7,47273
0,0219;7,47071
0,02195;7,47475
0,022;7,47475
0,02205;7,47475
0,0221;7,47071
0,02215;7,47677
0,0222;7,47273
