"t / s";"CH1 / V"
0;7,40202
2e-05;7,4101
4e-05;7,40808
6e-05;7,41212
8e-05;7,40808
0,0001;7,41212
0,00012;7,41616
0,00014;7,43232
0,00016;7,41414
0,00018;7,40606
0,0002;7,4101
0,00022;7,41818
0,00024;7,40808
0,00026;7,40808
0,00028;7,41414
0,0003;7,40202
0,00032;7,42222
0,00034;7,42424
0,00036;7,41616
0,00038;7,4303
0,0004;7,4202
0,00042;7,4101
0,00044;7,41616
0,00046;7,42828
0,00048;7,43636
0,0005;7,4202
0,00052;7,41818
0,00054;7,43232
0,00056;7,42222
0,00058;7,4101
0,0006;7,4202
0,00062;7,4101
0,00064;7,43636
0,00066;7,41616
0,00068;7,42424
0,0007;7,41616
0,00072;7,4
0,00074;7,40808
0,00076;7,38384
0,00078;7,4101
0,0008;7,42222
0,00082;7,40808
0,00084;7,41818
0,00086;7,41212
0,00088;7,4
0,0009;7,4
0,00092;7,40404
0,00094;7,4202
0,00096;7,42424
0,00098;7,40808
0,001;7,42626
0,00102;7,41212
0,00104;7,38788
0,00106;7,39798
0,00108;7,40202
0,0011;7,3899
0,00112;7,40202
0,00114;7,40202
0,00116;7,39394
0,00118;7,40808
0,0012;7,3899
0,00122;7,39394
0,00124;7,3899
0,00126;7,39394
0,00128;7,38788
0,0013;7,38182
0,00132;7,3899
0,00134;7,38586
0,00136;7,41212
0,00138;7,40202
0,0014;7,40606
0,00142;7,41212
0,00144;7,40202
0,00146;7,39394
0,00148;7,4101
0,0015;7,40808
0,00152;7,40606
0,00154;7,41414
0,00156;7,41616
0,00158;7,40606
0,0016;7,40808
0,00162;7,38586
0,00164;7,40606
0,00166;7,40202
0,00168;7,4
0,0017;7,41212
0,00172;7,40404
0,00174;7,40606
0,00176;7,41212
0,00178;7,41212
0,0018;7,42626
0,00182;7,4101
0,00184;7,41818
0,00186;7,41414
0,00188;7,43838
0,0019;7,41818
0,00192;7,43232
0,00194;7,41212
0,00196;7,43636
0,00198;7,4303
0,002;7,4303
0,00202;7,40808
0,00204;7,43838
0,00206;7,42828
0,00208;7,44848
0,0021;7,45455
0,00212;7,44444
0,00214;7,4202
0,00216;7,4303
0,00218;7,42828
0,0022;7,43636
0,00222;7,42626
0,00224;7,43636
0,00226;7,43232
0,00228;7,44242
0,0023;7,43434
0,00232;7,42626
0,00234;7,41818
0,00236;7,40808
0,00238;7,4303
0,0024;7,43838
0,00242;7,43434
0,00244;7,42626
0,00246;7,4101
0,00248;7,42626
0,0025;7,4303
0,00252;7,43838
0,00254;7,40808
0,00256;7,41414
0,00258;7,41818
0,0026;7,4202
0,00262;7,42828
0,00264;7,45253
0,00266;7,4404
0,00268;7,43232
0,0027;7,45051
0,00272;7,43434
0,00274;7,42222
0,00276;7,4404
0,00278;7,43636
0,0028;7,44848
0,00282;7,4303
0,00284;7,42424
0,00286;7,41212
0,00288;7,43636
0,0029;7,4404
0,00292;7,42626
0,00294;7,4202
0,00296;7,43636
0,00298;7,41212
0,003;7,43838
0,00302;7,42222
0,00304;7,44242
0,00306;7,46869
0,00308;7,42828
0,0031;7,42424
0,00312;7,43232
0,00314;7,4303
0,00316;7,4303
0,00318;7,43434
0,0032;7,42626
0,00322;7,43838
0,00324;7,44646
0,00326;7,44242
0,00328;7,4404
0,0033;7,44646
0,00332;7,44646
0,00334;7,43636
0,00336;7,45253
0,00338;7,43838
0,0034;7,44444
0,00342;7,44242
0,00344;7,4404
0,00346;7,4303
0,00348;7,43838
0,0035;7,41818
0,00352;7,43232
0,00354;7,42424
0,00356;7,44848
0,00358;7,42424
0,0036;7,44444
0,00362;7,4303
0,00364;7,42222
0,00366;7,42626
0,00368;7,4303
0,0037;7,4202
0,00372;7,42828
0,00374;7,40808
0,00376;7,41414
0,00378;7,42222
0,0038;7,42424
0,00382;7,41818
0,00384;7,43232
0,00386;7,43232
0,00388;7,43232
0,0039;7,4202
0,00392;7,42626
0,00394;7,42828
0,00396;7,42424
0,00398;7,43838
0,004;7,43636
0,00402;7,4404
0,00404;7,43838
0,00406;7,45455
0,00408;7,43232
0,0041;7,42828
0,00412;7,4303
0,00414;7,45051
0,00416;7,44444
0,00418;7,44242
0,0042;7,45051
0,00422;7,43232
0,00424;7,42626
0,00426;7,43636
0,00428;7,43434
0,0043;7,42626
0,00432;7,4404
0,00434;7,43636
0,00436;7,4303
0,00438;7,43232
0,0044;7,44646
0,00442;7,4404
0,00444;7,44444
0,00446;7,43838
0,00448;7,45253
0,0045;7,4202
0,00452;7,43636
0,00454;7,4202
0,00456;7,4303
0,00458;7,44444
0,0046;7,43232
0,00462;7,43232
0,00464;7,44242
0,00466;7,43838
0,00468;7,42626
0,0047;7,41818
0,00472;7,43232
0,00474;7,4101
0,00476;7,4202
0,00478;7,42626
0,0048;7,4202
0,00482;7,42424
0,00484;7,43636
0,00486;7,42626
0,00488;7,4303
0,0049;7,4202
0,00492;7,41414
0,00494;7,41818
0,00496;7,40808
0,00498;7,4202
0,005;7,42222
0,00502;7,41414
0,00504;7,40808
0,00506;7,43838
0,00508;7,40606
0,0051;7,41616
0,00512;7,42222
0,00514;7,42424
0,00516;7,43232
0,00518;7,43232
0,0052;7,4202
0,00522;7,42424
0,00524;7,42222
0,00526;7,42424
0,00528;7,4303
0,0053;7,43838
0,00532;7,42828
0,00534;7,44444
0,00536;7,43434
0,00538;7,42626
0,0054;7,43434
0,00542;7,4303
0,00544;7,43636
0,00546;7,4303
0,00548;7,43636
0,0055;7,43838
0,00552;7,44646
0,00554;7,4303
0,00556;7,44444
0,00558;7,43838
0,0056;7,42626
0,00562;7,42424
0,00564;7,4202
0,00566;7,42626
0,00568;7,41818
0,0057;7,41818
0,00572;7,4303
0,00574;7,42626
0,00576;7,42424
0,00578;7,43232
0,0058;7,41414
0,00582;7,42828
0,00584;7,4303
0,00586;7,41818
0,00588;7,4404
0,0059;7,4303
0,00592;7,41818
0,00594;7,43232
0,00596;7,4404
0,00598;7,42828
0,006;7,42424
0,00602;7,44242
0,00604;7,42828
0,00606;7,43838
0,00608;7,43636
0,0061;7,43636
0,00612;7,43232
0,00614;7,43434
0,00616;7,4303
0,00618;7,41616
0,0062;7,45455
0,00622;7,42828
0,00624;7,41616
0,00626;7,43232
0,00628;7,43232
0,0063;7,42828
0,00632;7,43232
0,00634;7,42828
0,00636;7,41212
0,00638;7,42222
0,0064;7,43636
0,00642;7,4303
0,00644;7,42828
0,00646;7,44444
0,00648;7,42626
0,0065;7,42222
0,00652;7,41616
0,00654;7,4404
0,00656;7,42424
0,00658;7,4202
0,0066;7,42222
0,00662;7,42828
0,00664;7,41616
0,00666;7,42222
0,00668;7,41616
0,0067;7,42828
0,00672;7,41616
0,00674;7,41818
0,00676;7,42828
0,00678;7,4303
0,0068;7,43434
0,00682;7,42424
0,00684;7,42828
0,00686;7,4303
0,00688;7,43434
0,0069;7,42424
0,00692;7,42828
0,00694;7,43838
0,00696;7,43434
0,00698;7,44444
0,007;7,43838
0,00702;7,44242
0,00704;7,42222
0,00706;7,42222
0,00708;7,41818
0,0071;7,42626
0,00712;7,42424
0,00714;7,40404
0,00716;7,40202
0,00718;7,43232
0,0072;7,41616
0,00722;7,40606
0,00724;7,40202
0,00726;7,4101
0,00728;7,39798
0,0073;7,40808
0,00732;7,41212
0,00734;7,40404
0,00736;7,41616
0,00738;7,40606
0,0074;7,39798
0,00742;7,4
0,00744;7,40808
0,00746;7,4101
0,00748;7,38182
0,0075;7,40404
0,00752;7,39798
0,00754;7,39798
0,00756;7,39394
0,00758;7,42222
0,0076;7,3899
0,00762;7,40606
0,00764;7,41212
0,00766;7,40404
0,00768;7,40606
0,0077;7,40404
0,00772;7,41212
0,00774;7,40404
0,00776;7,40808
0,00778;7,4
0,0078;7,41414
0,00782;7,41818
0,00784;7,40202
0,00786;7,42828
0,00788;7,43838
0,0079;7,43232
0,00792;7,42828
0,00794;7,42424
0,00796;7,40202
0,00798;7,41616
0,008;7,41616
0,00802;7,42626
0,00804;7,44242
0,00806;7,41212
0,00808;7,40606
0,0081;7,41616
0,00812;7,42828
0,00814;7,43434
0,00816;7,4202
0,00818;7,42626
0,0082;7,42828
0,00822;7,4202
0,00824;7,42222
0,00826;7,40404
0,00828;7,4101
0,0083;7,4202
0,00832;7,41212
0,00834;7,44242
0,00836;7,42424
0,00838;7,44444
0,0084;7,41616
0,00842;7,41616
0,00844;7,41414
0,00846;7,40404
0,00848;7,42626
0,0085;7,4101
0,00852;7,41616
0,00854;7,4202
0,00856;7,42424
0,00858;7,40606
0,0086;7,40808
0,00862;7,4202
0,00864;7,4202
0,00866;7,42222
0,00868;7,40606
0,0087;7,41414
0,00872;7,42424
0,00874;7,43434
0,00876;7,44242
0,00878;7,41414
0,0088;7,42222
0,00882;7,40202
0,00884;7,42626
0,00886;7,4303
0,00888;7,40202
0,0089;7,42828
0,00892;7,41818
0,00894;7,42626
0,00896;7,41212
0,00898;7,41414
0,009;7,42626
0,00902;7,44444
0,00904;7,41616
0,00906;7,40808
0,00908;7,40606
0,0091;7,42828
0,00912;7,42222
0,00914;7,4202
0,00916;7,43232
0,00918;7,40404
0,0092;7,40606
0,00922;7,41616
0,00924;7,40808
0,00926;7,41616
0,00928;7,4202
0,0093;7,4202
0,00932;7,4303
0,00934;7,42626
0,00936;7,4303
0,00938;7,43434
0,0094;7,42424
0,00942;7,40606
0,00944;7,40808
0,00946;7,42222
0,00948;7,41414
0,0095;7,41616
0,00952;7,40404
0,00954;7,4101
0,00956;7,40808
0,00958;7,39596
0,0096;7,4303
0,00962;7,43434
0,00964;7,42828
0,00966;7,41818
0,00968;7,42424
0,0097;7,4
0,00972;7,41616
0,00974;7,4101
0,00976;7,41818
0,00978;7,40404
0,0098;7,41212
0,00982;7,40404
0,00984;7,41212
0,00986;7,4101
0,00988;7,41818
0,0099;7,42222
0,00992;7,41414
