"t / s","CH1 / V"
0.000622,2.87677
0.000624,2.88889
0.000626,2.88687
0.000628,2.87677
0.00063,2.89091
0.000632,2.90101
0.000634,2.89495
0.000636,2.87475
0.000638,2.89697
0.00064,2.89091
0.000642,2.89899
0.000644,2.87071
0.000646,2.89495
0.000648,2.87475
0.00065,2.90909
0.000652,2.87879
0.000654,2.90303
0.000656,2.87071
0.000658,2.88687
0.00066,2.89293
0.000662,2.89293
0.000664,2.87677
0.000666,2.89091
0.000668,2.89697
0.00067,2.86667
0.000672,2.89091
0.000674,2.88081
0.000676,2.90303
0.000678,2.87273
0.00068,2.89495
0.000682,2.89293
0.000684,2.88889
0.000686,2.89495
0.000688,2.87677
0.00069,2.89495
0.000692,2.89899
0.000694,2.88283
0.000696,2.88687
0.000698,2.88485
0.0007,2.89899
0.000702,2.89293
0.000704,2.87677
0.000706,2.90505
0.000708,2.87475
0.00071,2.89697
0.000712,2.86869
0.000714,2.90505
0.000716,2.89091
0.000718,2.89495
0.00072,2.89293
0.000722,2.88283
0.000724,2.90303
0.000726,2.88283
0.000728,2.90303
0.00073,2.88283
0.000732,2.90707
0.000734,2.89091
0.000736,2.88081
0.000738,2.90101
0.00074,2.89899
0.000742,2.90101
0.000744,2.89899
0.000746,2.88889
0.000748,2.89697
0.00075,2.87475
0.000752,2.89293
0.000754,2.89091
0.000756,2.89697
0.000758,2.89293
0.00076,2.89293
0.000762,2.88283
0.000764,2.89293
0.000766,2.89091
0.000768,2.88081
0.00077,2.92525
0.000772,2.86061
0.000774,2.90303
0.000776,2.88485
0.000778,2.88485
0.00078,2.89697
0.000782,2.88889
0.000784,2.90707
0.000786,2.86869
0.000788,2.89091
0.00079,2.88687
0.000792,2.87677
0.000794,2.89495
0.000796,2.88889
0.000798,2.87677
0.0008,2.91111
0.000802,2.89091
0.000804,2.88485
0.000806,2.89091
0.000808,2.88485
0.00081,2.88283
0.000812,2.89293
0.000814,2.88687
0.000816,2.87879
0.000818,2.89899
0.00082,2.86869
0.000822,2.89091
0.000824,2.89697
0.000826,2.88485
0.000828,2.88889
0.00083,2.89899
0.000832,2.89091
0.000834,2.89495
0.000836,2.88485
0.000838,2.88485
0.00084,2.89091
0.000842,2.90101
0.000844,2.87879
0.000846,2.89091
0.000848,2.88485
0.00085,2.88283
0.000852,2.89697
0.000854,2.87677
0.000856,2.89899
0.000858,2.88687
0.00086,2.89293
0.000862,2.87071
0.000864,2.87475
0.000866,2.88889
0.000868,2.89495
0.00087,2.88485
0.000872,2.90505
0.000874,2.88081
0.000876,2.89293
0.000878,2.88687
0.00088,2.89293
0.000882,2.89293
0.000884,2.88687
0.000886,2.88485
0.000888,2.90303
0.00089,2.86263
0.000892,2.89697
0.000894,2.90707
0.000896,2.86869
0.000898,2.89697
0.0009,2.87071
0.000902,2.90505
0.000904,2.88687
0.000906,2.88283
0.000908,2.88485
0.00091,2.89091
0.000912,2.88687
0.000914,2.88081
0.000916,2.88889
0.000918,2.87475
0.00092,2.90909
0.000922,2.88485
0.000924,2.89293
0.000926,2.87879
0.000928,2.90101
0.00093,2.89091
0.000932,2.89091
0.000934,2.88081
0.000936,2.88283
0.000938,2.87879
0.00094,2.86465
0.000942,2.89899
0.000944,2.88687
0.000946,2.89091
0.000948,2.88687
0.00095,2.88485
0.000952,2.88283
0.000954,2.89091
0.000956,2.89697
0.000958,2.89091
0.00096,2.88283
0.000962,2.88485
0.000964,2.90303
0.000966,2.88485
0.000968,2.89293
0.00097,2.88081
0.000972,2.89091
0.000974,2.89495
0.000976,2.90101
0.000978,2.88283
0.00098,2.88889
0.000982,2.89091
0.000984,2.89495
0.000986,2.87879
0.000988,2.88687
0.00099,2.87879
0.000992,2.88485
0.000994,2.89495
0.000996,2.88283
0.000998,2.89697
0.001,2.88081
0.001002,2.88687
0.001004,2.89899
0.001006,2.89899
0.001008,2.89091
0.00101,2.86869
0.001012,2.89293
0.001014,2.88889
0.001016,2.87879
0.001018,2.89697
0.00102,2.87879
0.001022,2.90101
0.001024,2.88283
0.001026,2.87273
0.001028,2.90707
0.00103,2.87879
0.001032,2.90101
0.001034,2.89091
0.001036,2.90505
0.001038,2.87273
0.00104,2.89293
0.001042,2.87677
0.001044,2.89495
0.001046,2.87677
0.001048,2.90101
0.00105,2.89091
0.001052,2.88283
0.001054,2.87677
0.001056,2.88283
0.001058,2.90707
0.00106,2.87879
0.001062,2.88687
0.001064,2.89091
0.001066,2.87677
0.001068,2.88889
0.00107,2.89899
0.001072,2.85859
0.001074,2.89697
0.001076,2.88889
0.001078,2.87677
0.00108,2.89495
0.001082,2.88283
0.001084,2.89293
0.001086,2.90303
0.001088,2.88485
0.00109,2.88081
0.001092,2.87879
0.001094,2.88889
0.001096,2.89899
0.001098,2.89697
0.0011,2.87879
0.001102,2.88889
0.001104,2.89091
0.001106,2.90505
0.001108,2.88485
0.00111,2.87475
0.001112,2.89899
0.001114,2.88889
0.001116,2.88283
0.001118,2.89697
0.00112,2.87475
0.001122,2.89091
0.001124,2.88687
0.001126,2.89899
0.001128,2.89899
0.00113,2.88485
0.001132,2.87475
0.001134,2.89293
0.001136,2.89697
0.001138,2.89091
0.00114,2.87071
0.001142,2.90101
0.001144,2.89091
0.001146,2.89697
0.001148,2.89899
0.00115,2.88687
0.001152,2.88687
0.001154,2.89495
0.001156,2.89293
0.001158,2.87475
0.00116,2.90303
0.001162,2.88687
0.001164,2.89091
0.001166,2.88485
0.001168,2.90101
0.00117,2.91313
0.001172,2.87677
0.001174,2.88283
0.001176,2.88283
0.001178,2.88687
0.00118,2.88889
0.001182,2.89899
0.001184,2.88485
0.001186,2.90303
0.001188,2.86869
0.00119,2.89697
0.001192,2.88283
0.001194,2.89899
0.001196,2.86869
0.001198,2.89091
0.0012,2.89495
0.001202,2.88081
0.001204,2.88283
0.001206,2.90303
0.001208,2.88081
0.00121,2.89899
0.001212,2.88283
0.001214,2.89697
0.001216,2.88687
0.001218,2.88485
0.00122,2.89697
0.001222,2.89495
0.001224,2.88283
0.001226,2.88283
0.001228,2.90303
0.00123,2.87475
0.001232,2.90505
0.001234,2.88081
0.001236,2.90101
0.001238,2.88889
0.00124,2.88081
0.001242,2.88889
0.001244,2.89091
0.001246,2.89293
0.001248,2.88081
0.00125,2.88889
0.001252,2.88081
0.001254,2.87475
0.001256,2.89899
0.001258,2.89697
0.00126,2.87677
0.001262,2.90303
0.001264,2.88283
0.001266,2.88687
0.001268,2.89697
0.00127,2.88485
0.001272,2.89091
0.001274,2.88687
0.001276,2.89697
0.001278,2.88485
0.00128,2.88485
0.001282,2.90101
0.001284,2.88485
0.001286,2.89697
0.001288,2.88687
0.00129,2.88283
0.001292,2.87879
0.001294,2.89091
0.001296,2.89495
0.001298,2.88889
0.0013,2.88889
0.001302,2.88687
0.001304,2.88687
0.001306,2.88687
0.001308,2.89091
0.00131,2.89697
0.001312,2.87879
0.001314,2.88687
0.001316,2.88081
0.001318,2.90909
0.00132,2.88283
0.001322,2.90707
0.001324,2.88283
0.001326,2.88687
0.001328,2.88889
0.00133,2.87879
0.001332,2.89293
0.001334,2.88283
0.001336,2.88889
0.001338,2.89899
0.00134,2.89495
0.001342,2.87071
0.001344,2.89091
0.001346,2.89293
0.001348,2.88081
0.00135,2.88889
0.001352,2.87475
0.001354,2.88889
0.001356,2.88889
0.001358,2.88283
0.00136,2.90505
0.001362,2.88081
0.001364,2.88687
0.001366,2.87677
0.001368,2.88283
0.00137,2.90707
0.001372,2.88081
0.001374,2.91111
0.001376,2.84848
0.001378,2.90101
0.00138,2.89091
0.001382,2.89293
0.001384,2.87273
0.001386,2.88283
0.001388,2.89091
0.00139,2.87273
0.001392,2.88687
0.001394,2.89899
0.001396,2.87475
0.001398,2.90909
0.0014,2.87879
0.001402,2.90303
0.001404,2.89091
0.001406,2.86869
0.001408,2.89697
0.00141,2.89091
0.001412,2.88687
0.001414,2.91717
0.001416,2.87879
0.001418,2.88687
0.00142,2.89293
0.001422,2.88081
0.001424,2.89495
0.001426,2.88485
0.001428,2.89091
0.00143,2.87879
0.001432,2.89495
0.001434,2.89899
0.001436,2.88889
0.001438,2.89091
0.00144,2.88081
0.001442,2.89293
0.001444,2.86465
0.001446,2.89899
0.001448,2.90707
0.00145,2.88283
0.001452,2.90909
0.001454,2.87879
0.001456,2.89899
0.001458,2.89697
0.00146,2.87677
0.001462,2.88283
0.001464,2.90303
0.001466,2.89293
0.001468,2.87879
0.00147,2.89091
0.001472,2.89293
0.001474,2.89495
0.001476,2.88687
0.001478,2.89293
0.00148,2.89091
0.001482,2.88081
0.001484,2.89697
0.001486,2.89091
0.001488,2.88283
0.00149,2.89495
0.001492,2.88283
0.001494,2.89495
0.001496,2.89091
0.001498,2.90303
0.0015,2.86263
0.001502,2.89899
0.001504,2.88687
0.001506,2.89091
0.001508,2.87879
0.00151,2.87879
0.001512,2.89899
0.001514,2.88889
0.001516,2.88283
0.001518,2.89495
0.00152,2.90101
0.001522,2.88687
0.001524,2.88889
0.001526,2.89293
0.001528,2.89091
0.00153,2.88081
0.001532,2.90101
0.001534,2.87879
0.001536,2.89697
0.001538,2.88081
0.00154,2.88889
0.001542,2.90303
0.001544,2.88485
0.001546,2.89495
0.001548,2.88889
0.00155,2.88687
0.001552,2.88081
0.001554,2.89293
0.001556,2.89495
0.001558,2.89293
0.00156,2.88485
0.001562,2.87879
0.001564,2.87677
0.001566,2.90909
0.001568,2.87475
0.00157,2.90101
0.001572,2.88485
0.001574,2.89091
0.001576,2.91313
0.001578,2.88283
0.00158,2.88889
0.001582,2.88687
0.001584,2.89293
0.001586,2.89495
0.001588,2.88283
0.00159,2.90909
0.001592,2.88283
0.001594,2.88485
0.001596,2.89495
0.001598,2.87879
0.0016,2.90101
0.001602,2.89495
0.001604,2.88283
0.001606,2.88485
0.001608,2.89899
0.00161,2.89697
0.001612,2.87273
0.001614,2.89293
0.001616,2.89293
0.001618,2.88081
0.00162,2.89293
0.001622,2.89293
0.001624,2.88687
0.001626,2.89091
0.001628,2.91919
0.00163,2.86263
0.001632,2.88283
0.001634,2.88889
0.001636,2.90303
0.001638,2.88889
0.00164,2.88283
0.001642,2.88283
0.001644,2.88485
0.001646,2.87677
0.001648,2.88889
0.00165,2.89697
0.001652,2.89495
0.001654,2.89091
0.001656,2.86465
0.001658,2.90505
0.00166,2.88889
0.001662,2.89091
0.001664,2.91717
0.001666,2.89293
0.001668,2.87677
0.00167,2.88485
0.001672,2.87879
0.001674,2.90505
0.001676,2.87475
0.001678,2.89899
0.00168,2.89293
0.001682,2.87677
0.001684,2.88687
0.001686,2.89899
0.001688,2.90707
0.00169,2.86869
0.001692,2.90909
0.001694,2.86667
0.001696,2.88081
0.001698,2.89091
0.0017,2.87273
0.001702,2.89899
0.001704,2.89697
0.001706,2.89293
0.001708,2.87677
0.00171,2.89495
0.001712,2.88081
0.001714,2.89697
0.001716,2.88485
0.001718,2.87071
0.00172,2.90101
0.001722,2.88889
0.001724,2.88283
0.001726,2.89495
0.001728,2.88687
0.00173,2.89495
0.001732,2.86667
0.001734,2.89293
0.001736,2.87879
0.001738,2.89899
0.00174,2.88485
0.001742,2.88687
0.001744,2.87879
0.001746,2.90707
0.001748,2.89091
0.00175,2.88283
0.001752,2.90505
0.001754,2.87677
0.001756,2.89899
0.001758,2.87475
0.00176,2.90101
0.001762,2.88081
0.001764,2.89697
0.001766,2.89091
0.001768,2.87475
0.00177,2.88687
0.001772,2.89495
0.001774,2.88687
0.001776,2.88283
0.001778,2.90303
0.00178,2.87879
0.001782,2.89293
0.001784,2.88283
0.001786,2.88283
0.001788,2.89697
0.00179,2.87677
0.001792,2.91111
0.001794,2.87273
0.001796,2.89697
0.001798,2.89091
0.0018,2.89899
0.001802,2.88889
0.001804,2.89091
0.001806,2.89293
0.001808,2.89495
0.00181,2.88687
0.001812,2.88889
0.001814,2.90505
0.001816,2.90101
0.001818,2.86869
0.00182,2.89899
0.001822,2.87879
0.001824,2.90101
0.001826,2.88283
0.001828,2.89293
0.00183,2.88081
0.001832,2.89293
0.001834,2.87273
0.001836,2.90101
0.001838,2.88081
0.00184,2.88687
0.001842,2.87879
0.001844,2.89495
0.001846,2.88889
0.001848,2.90101
0.00185,2.88889
0.001852,2.89495
0.001854,2.87879
0.001856,2.88889
0.001858,2.89495
0.00186,2.88283
0.001862,2.89899
0.001864,2.89293
0.001866,2.88889
0.001868,2.89697
0.00187,2.89293
0.001872,2.88283
0.001874,2.89697
0.001876,2.88687
0.001878,2.89899
0.00188,2.89293
0.001882,2.89697
0.001884,2.87677
0.001886,2.88687
0.001888,2.90505
0.00189,2.86667
0.001892,2.88687
